,source_language,split,target_language
201,he is fond of adventure .,train,il aime l'aventure.
202,i am accustomed to cold weather .,train,je suis accoutumã© au temps froid.
203,you are absolutely right .,train,vous avez parfaitement raison.
204,he is afraid that he will die .,train,il a peur de mourir.
205,he is already here .,train,il est dã©jã â lã .
206,he is running now .,train,"maintenant, il court."
207,she is always forgetting my phone number .,train,elle oublie tout le temps mon numã©ro de tã©lã©phone.
208,he is good for five thousand dollars .,train,il marche pour 5000 dollars.
209,he is fond of swimming .,train,il aime la natation.
210,you are hopeless .,train,tu es incorrigible.
211,he is considered the prime suspect by the police .,train,il est considã©rã© comme le suspect numã©ro un par la police.
212,i am in no mood for joking .,train,je ne suis pas d'humeur ã  blaguer.
213,he is bad at driving .,train,c'est un mauvais conducteur.
214,you are so childish sometimes .,train,vous ãªtes parfois si puã©rile.
215,i am going to write a letter .,train,je vais ã©crire une lettre.
216,i am not certain about that .,train,je ne suis pas certain de cela.
217,you are abusing your authority .,train,tu abuses de ton autoritã©.
218,we are overfishing the world 's oceans .,train,nous sur-pãªchons dans les ocã©ans du monde.
219,i am not as interested in literature as you .,train,je ne suis pas autant intã©ressã© par la littã©rature que vous.
220,he is a very good doctor .,train,c'est un trã¨s bon mã©decin.
221,i am not too tired .,train,je ne suis pas trop fatiguã©.
222,you are a genius .,train,vous ãªtes un gã©nie.
223,i am glad to help you .,train,je suis ravi de t'aider.
224,you are blinded by love .,train,vous ãªtes aveuglã©s par l'amour.
225,i am ashamed about what happened yesterday .,train,j'ai honte de ce qui s'est passã© hier.
226,he is clumsy with his hands .,train,il est maladroit de ses mains.
227,i am doubtful whether he will come .,train,je doute qu'il vienne.
228,she is very cynical about life .,train,elle a une conception cynique de la vie.
229,he is too drunk to drive home .,train,il est trop saoul pour conduire jusque chez lui.
230,"you are n't a spy , are you ?",train,"vous n'ãªtes pas une espionne, siâ€¯?"
231,he is fresh from college .,train,il est frais ã©moulu de l'universitã©.
232,i am not a teacher .,train,je ne suis pas enseignant.
233,he is crazy about jazz .,train,il est dingue de jazz.
234,he is good at taking photos .,train,il est douã© pour prendre des photos.
235,he is rather hard to please .,train,il est plutã´t difficile ã  contenter.
236,he is too honest to tell a lie .,train,il est trop honnãªte pour raconter des mensonges.
237,you are very rich .,train,vous ãªtes fort riches.
238,she is busy learning english .,train,elle est occupã©e ã  apprendre l'anglais.
239,he is better than anyone else .,train,il est mieux que quiconque.
240,i am a bad person .,train,je suis un ãªtre mauvais.
241,he is proud of his father being rich .,train,il est fier que son pã¨re soit riche.
242,he is late .,train,il est en retard.
243,i am shorter than you .,train,je suis plus petite que vous.
244,you are so childish sometimes .,train,tu es parfois si puã©rile.
245,i am ready to follow you .,train,je suis prãªt ã  te suivre.
246,he is eager to go there .,train,il dã©sire ardemment y aller.
247,i am looking for an assistant .,train,je recherche un assistant.
248,i am very happy to hear about your engagement .,train,je suis trã¨s heureux d'apprendre tes fianã§ailles.
249,he is very sensitive to criticism .,train,il est trã¨s sensible ã  la critique.
250,he is in trouble .,train,il a des problã¨mes.
251,he is my friend . do you guys know him ?,train,"c'est mon pote. vous le connaissez, les mecsâ€¯?"
252,he is about to die .,train,il est sur le point de mourir.
253,i am sure of her success .,train,je suis certaine de son succã¨s.
254,she is convinced of my innocence .,train,elle est convaincue de mon innocence.
255,she is devoted to her husband .,train,elle est totalement dã©vouã©e ã  son mari.
256,i am more than grateful to you for your help .,train,je te suis infiniment reconnaissant pour ton aide.
257,i am yours and you are mine .,train,je suis tien et tu es mienne.
258,she is devoted to her three children .,train,elle est entiã¨rement dã©vouã©e ã  ses trois enfants.
259,"you are n't really going to join the army , are you ?",train,"tu ne vas pas vraiment t'enrã´ler dans l'armã©e, siâ€¯?"
260,she is a pretty girl .,train,c'est une fille mignonne.
261,he is less intelligent than me .,train,il est moins intelligent que moi.
262,he is just a kid .,train,ce n'est qu'un enfant.
263,he is afraid of becoming sick .,train,il a peur de devenir malade.
264,i am happy to meet you .,train,je suis heureux de te voir.
265,he is n't at home .,train,il n'est pas ã  la maison.
266,he is still in bed .,train,il est encore au lit.
267,i am grilling fish .,train,je suis en train de griller du poisson.
268,she is lacking in common sense .,train,elle manque de sens commun.
269,i am tired of listening to tom .,train,je suis fatiguã© d'ã©couter tom.
270,i am 19 years old .,train,j'ai 19 ans.
271,she is not rich enough to waste money .,train,elle n'est pas assez riche pour gaspiller de l'argent.
272,we are having a serious talk about your future .,train,nous avons une sã©rieuse conversation ã  propos de ton avenir.
273,you are naughty .,train,tu es vilain.
274,we are all eager to know the truth .,train,nous sommes tous avides de connaã®tre la vã©ritã©.
275,i am forever in your debt .,train,je suis pour toujours votre dã©biteur.
276,he is the head of marketing .,train,c'est le patron du marketing.
277,i am of the opinion that she is right .,train,"selon moi, elle a raison."
278,he is the tallest boy .,train,c'est le garã§on le plus grand.
279,he is qualified as an english teacher .,train,il est compã©tent en tant qu'enseignant d'anglais.
280,i am yours and you are mine .,train,je suis ã  vous et vous ãªtes ã  moi.
281,i am yours and you are mine .,train,je suis tien et tu es mien.
282,they are all the same .,train,ils sont tous les mãªmes.
283,i am concerned about his health .,train,je crains pour sa santã©.
284,"you are , hands down , the biggest idiot i 've ever met .",train,tu es sans conteste le pire des idiots que j'ai jamais rencontrã©s.
285,he is always willing to help others .,train,il se fait toujours une joie d'aider les autres.
286,they are n't going to help tom .,train,ils ne vont pas aider tom.
287,he is an aggressive person .,train,c'est une personne agressive.
288,we are n't enemies .,train,nous ne sommes pas des ennemis.
289,i am taller .,train,je suis plus grand.
290,she is an efficient and reliable assistant .,train,c'est une assistante efficace et digne de confiance.
291,he is english .,train,il est anglais.
292,he is as great a poet as ever lived .,train,il fait partie des plus grands poã¨tes de tous les temps.
293,he is said to have been a good teacher .,train,on dit que c'ã©tait un bon professeur.
294,she is always dressed in black .,train,elle est toujours vãªtue de noir.
295,he is a writer .,train,il est ã©crivain.
296,we are not all that safe .,train,nous ne sommes pas tant que ã§a en sã©curitã©.
297,we are n't like them .,train,nous ne sommes pas comme eux.
298,he is old .,train,il est vieux.
299,you are n't smiling .,train,tu ne souris pas.
300,he is n't the kind of person who we want to work with .,train,il n'est pas le genre de personne avec qui on aimerait travailler.
301,you are the one that i was looking for .,train,"c'est toi, celle que je cherchais."
302,you are really very good .,train,vous ãªtes vraiment trã¨s bons.
303,he is about thirty .,train,il a environ trente ans.
304,they are looking for a house to live in .,train,ils cherchent une maison oã¹ habiter.
305,he is a man you can rely upon .,train,c'est un homme sur qui on peut compter.
306,we are fully aware of the importance of the situation .,train,nous sommes pleinement conscients de l'importance de la situation.
307,i am getting dressed .,train,je me vãªts.
308,you are blinded by love .,train,tu es aveuglã© par l'amour.
309,you are dreaming .,train,tu es en train de rãªver.
310,he is the man you met the other day .,train,c'est l'homme que vous avez rencontrã© l'autre jour.
311,he is by far the wisest of the three .,train,il est de loin le plus sage des trois.
312,she is always dressed in black .,train,elle est toujours habillã©e en noir.
313,he is not what he used to be .,train,il n'est plus ce qu'il ã©tait avant.
314,i am taking a bath now .,train,je suis actuellement en train de prendre un bain.
315,she is the one who took care of his wound .,train,elle est celle qui a pris soin de sa blessure.
316,he is anxious for her to come .,train,il est inquiet de sa venue.
317,i am on holiday this week .,train,je suis en congã© cette semaine.
318,they are going shopping .,train,ils vont faire les courses.
319,he is by far the best player on the team .,train,il est de loin le meilleur joueur de l'ã©quipe.
320,he is no longer a child .,train,ce n'est plus un enfant.
321,"i am not a doctor , but a teacher .",train,"je ne suis pas mã©decin, mais enseignant."
322,i am going to a concert next week .,train,je me rends ã  un concert la semaine prochaine.
323,he is crazy about baseball .,train,il est fou de baseball.
324,"he is not much better , and there is a little hope of recovery .",train,il ne va pas mieux et il y a peu de chance de guã©rison.
325,she is a particularily interesting person .,train,c'est une personne particuliã¨rement intã©ressante.
326,he is anything but a gentleman .,train,il est tout sauf un gentleman.
327,he is too busy dreaming dreams to plan what he will do in his old age .,train,il est trop occupã© ã  rãªvasser pour projeter ce qu'il fera lorsqu'il sera vieux.
328,he is in touch with all kinds of people .,train,il est en contact avec toutes sortes de gens.
329,you are going too far .,train,tu vas trop loin.
330,he is busy preparing for the trip .,train,il s'affaire aux prã©paratifs du voyage.
331,he is on the radio .,train,il passe ã  la radio.
332,he is going to be a doctor when he grows up .,train,il deviendra docteur quand il sera grand.
333,she is almost as tall as you .,train,elle est presque aussi grande que toi.
334,i am afraid to go .,train,j'ai peur d'y aller.
335,he is buying some wood so that he can make a bookcase .,train,il achã¨te du bois pour pouvoir fabriquer une bibliothã¨que.
336,she is good at speaking english .,train,elle parle bien anglais.
337,he is much older than he looks .,train,il est beaucoup plus vieux qu'il n'en a l'air.
338,i am responsible for the mistake .,train,je suis responsable de cette erreur.
339,he is good at driving .,train,c'est un bon conducteur.
340,i am taking tomorrow off .,train,je prends un jour de congã© demain.
341,he is just an amateur .,train,il n'est qu'un amateur.
342,we are doing business with many countries .,train,nous faisons des affaires avec de nombreux pays.
343,i am deeply grateful to you for your kindness .,train,je te suis profondã©ment reconnaissant pour ta gentillesse.
344,you are old enough to make your own living .,train,tu es assez grand pour gagner ta vie par toi-mãªme.
345,he is a fast runner .,train,c'est un coureur rapide.
346,i am yours and you are mine .,train,je suis vã´tre et vous ãªtes mien.
347,he is full of new ideas .,train,il est plein de nouvelles idã©es.
348,she is not ashamed of her misconduct .,train,elle n'a pas honte de son inconduite.
349,i am no more an artist than you are .,train,je ne suis pas plus artiste que toi.
350,he is not what he used to be .,train,il n'est plus celui qu'il ã©tait.
351,he is a friendly person .,train,c'est une personne sympathique.
352,i am a man who ca n't stand being alone .,train,je suis un homme qui ne supporte pas d'ãªtre seul.
353,he is popular among us .,train,il est populaire parmi nous.
354,i am just a nobody .,train,je suis juste un monsieur tout-le-monde.
355,he is my type !,train,il est mon genreâ€¯!
356,he is always day-dreaming .,train,il rãªvasse toujours.
357,he is apparently responsible for it .,train,"il est responsable, semble-t-il."
358,she is friendly to everybody .,train,elle est amicale avec tout le monde.
359,he is related to me by marriage .,train,il est mon parent par alliance.
360,he is very eager to go there .,train,il est trã¨s impatient de s'y rendre.
361,you are very insensitive .,train,vous ãªtes trã¨s indã©licats.
362,he is just my age .,train,il a le mãªme ã¢ge que moi.
363,we are looking for someone who is proficient in french .,train,on cherche quelqu'un qui peut parler franã§ais dans un contexte professionnel.
364,he is always joking .,train,il plaisante toujours.
365,you are not supposed to smoke at school .,train,vous ãªtes supposã© ne pas fumer ã  l'ã©cole.
366,i am afraid of dying .,train,j'ai peur de mourir.
367,he is having lunch now .,train,il est en train de dã©jeuner ã  l'heure actuelle.
368,i am to meet him at six .,train,je dois le rencontrer ã  six heures.
369,he is acting on his own behalf .,train,il agit en son nom propre.
370,she is collecting material for a book .,train,elle rassemble du matã©riel pour un livre.
371,we are n't here to arrest you .,train,nous ne sommes pas ici pour t'arrãªter.
372,she is a most beautiful lady .,train,c'est une trã¨s belle dame.
373,she is never on time .,train,elle n'est jamais ã  l'heure.
374,i am a student at hyogo university .,train,je suis ã©tudiant ã  l'universitã© de hyogo.
375,you are n't invited .,train,vous n'ãªtes pas invitã©.
376,he is a tennis champion .,train,c'est un champion de tennis.
377,they are very kind .,train,elles sont trã¨s bienveillantes.
378,i am glad to hear the news .,train,je suis heureux d'entendre ces nouvelles.
379,i am living the good life .,train,je passe du bon temps.
380,"we are all alike , on the inside .",train,"nous sommes tous pareils, ã  l'intã©rieur."
381,he is blinded by love .,train,il est aveuglã© par l'amour.
382,he is out now .,train,il est actuellement sorti.
383,he is used to speaking in public .,train,il est habituã© ã  parler en public.
384,he is an evil man .,train,c'est un mã©chant homme.
385,i am going to the swimming pool .,train,je vais ã  la piscine.
386,you are drunk !,train,tu es saoulâ€¯!
387,i am on good terms with my brother .,train,je suis en bons termes avec mon frã¨re.
388,he is a very thoughtful person .,train,c'est une personne trã¨s attentionnã©e.
389,he is one of the most popular students in the class .,train,il est un des ã©tudiants les plus populaires de la classe.
390,he is well known in our country .,train,il est bien connu dans notre pays.
391,they are used to the humid climate of the summer .,train,ils sont accoutumã©s au climat humide de l'ã©tã©.
392,we are going to climb that mountain .,train,nous allons gravir cette montagne.
393,she is a reliable person .,train,c'est une personne fiable.
394,you are not at all wrong .,train,tu n'as pas tort du tout.
395,he is what we call a pioneer .,train,c'est ce que nous appelons un pionnier.
396,she is no ordinary singer .,train,ce n'est pas une chanteuse ordinaire.
397,she is familiar with the subject .,train,elle connaã®t bien le sujet.
398,you are good .,train,vous ãªtes bon.
399,he is suffering from loss of memory .,train,il souffre d'amnã©sie.
400,you are n't as short as me .,train,tu n'es pas aussi petite que moi.
401,i am staying at the hotel for the time being .,train,"pour l'instant, je sã©journe ã  l'hã´tel."
402,she is saving her money with a view to taking a trip around the world .,train,elle ã©pargne son argent dans l'optique de faire un voyage autour du monde.
403,she is a doctor .,train,elle est mã©decin.
404,you are a troublemaker .,train,vous ãªtes un fauteur de trouble.
405,they are exhausted .,train,elles sont crevã©es.
406,i am staying at the hotel for the time being .,train,je reste ã  l'hã´tel pour le moment.
407,i am going to buy a new car .,train,je vais acheter une nouvelle voiture.
408,"i am a teacher , too .",train,"moi aussi, je suis professeur."
409,we are bound to each other by a close friendship .,train,une amitiã© ã©troite nous lie.
410,she is what we call a bookworm .,train,elle est ce que nous appelons un rat de bibliothã¨que.
411,i am interested in asian history .,train,je suis intã©ressã© par l'histoire de l'asie.
412,she is very bitter toward me .,train,elle est trã¨s amã¨re envers moi.
413,you are stupid .,train,tu es stupide.
414,she is endowed with a special talent .,train,elle est dotã©e d'un talent spã©cial.
415,we are arabs .,train,nous sommes arabes.
416,he is absorbed in his work .,train,son travail l'absorbe.
417,she is firmly determined to own a store of her own .,train,elle est fermement dã©terminã©e ã  possã©der son propre magasin.
418,she is not a fan of winter sports .,train,elle n'est pas fan de sports d'hiver.
419,they are all college students .,train,ce sont toutes des ã©tudiantes de la fac.
420,you are not permitted to bring dogs into this building .,train,vous n'ãªtes pas autorisã©e ã  amener des chiens dans ce bã¢timent.
421,he is still standing .,train,il est toujours debout.
422,they are all alike to me .,train,elles sont toutes semblables ã  moi.
423,i am quite ignorant of their plan .,train,je ne sais rien de leur plan.
424,he is not japanese .,train,il n'est pas japonais.
425,he is playing there .,train,il y joue.
426,i am busy preparing for the next exam .,train,je suis occupã© ã  la prã©paration du prochain examen.
427,we are about to sit down to dinner .,train,nous sommes sur le point de nous mettre ã  table pour dã®ner.
428,she is a typist .,train,c'est une dactylographe.
429,she is very proud of her daughter .,train,elle est trã¨s fiã¨re de sa fille.
430,"you are n't ready yet , are you ?",train,"vous n'ãªtes pas encore prãªts, n'est-ce pas ?"
431,he is going to explain it to me .,train,il va me l'expliquer.
432,you are too late .,train,tu arrives trop tard.
433,i am not well at all .,train,je ne vais pas bien du tout.
434,they are great friends .,train,ils sont de grands amis.
435,he is my best friend .,train,il est mon meilleur ami.
436,you are n't as short as i am .,train,tu n'es pas aussi petit que moi.
437,he is accustomed to the work .,train,il est habituã© au travail.
438,i am peeling apples .,train,je suis en train d'ã©plucher des pommes.
439,i am taking my son to the zoo this afternoon .,train,j'emmã¨ne mon fils au zoo cet aprã¨s-midi.
440,you are a woman .,train,tu es une femme.
441,she is being blackmailed by him .,train,il exerce sur elle du chantage.
